472.045,355.52,4,104.134,-11.2939,237,248,151,
1088.35,446.492,3,-5.57657,25.8974,165,69,220,
405.931,494.533,1,49.1044,-12.0731,117,19,60,
829.387,393.36,1,173.087,-27.4691,32,189,33,
1103.24,-138.826,3,-88.4056,10.6594,98,151,114,
518.327,204.649,1,33.2625,96.9888,53,131,90,
699.815,468.135,4,23.3093,64.1384,103,87,135,
605.129,299.858,1,-187.502,-11.6945,189,29,72,
497.857,327.787,2,-20.6914,-56.7282,246,171,149,
851.093,381.871,2,-59.4649,-12.4808,54,28,113,
453.36,281.685,2,0.299832,-35.1899,166,171,48,
556.023,619.166,1,75.3306,-134.974,210,198,232,
524.294,394.785,1,6.19561,4.24514,95,54,222,
589.388,317.406,3,131.944,109.562,8,20,57,
835.888,498.051,3,-29.8469,-55.6635,103,111,108,
733.427,342.426,4,-16.6059,8.27971,20,38,12,
544.472,575.386,4,32.9528,0.115409,147,11,81,
668.699,333.114,1,-243.128,100.688,239,73,167,
544.881,385.757,3,61.3667,-5.94205,41,150,244,
1107.1,362.764,3,37.3835,-40.9355,184,124,221,
765.738,407.664,3,-152.556,27.2209,117,152,178,
595.452,507.23,1,37.4698,39.0796,171,125,172,
446.887,432.057,2,37.869,-15.4215,204,20,108,
534.428,248.085,4,5.12901,-79.3331,153,224,185,
853.513,448.116,1,46.5069,7.29466,206,45,108,
581.301,485.562,1,-148.689,-89.1248,107,62,245,
539.286,409.243,4,32.452,98.7193,199,20,85,
678.376,460.034,2,-17.6277,-79.3777,239,128,144,
790.385,691.032,1,71.1114,96.688,46,101,152,
1143.8,-81.9582,4,-59.4798,28.2893,94,218,98,
671.306,359.835,1,-167.028,-21.6768,198,44,238,
659.184,338.029,4,-66.7825,-36.7488,51,96,140,
543.947,414.847,2,20.9291,-61.997,12,129,13,
733.315,430.68,3,0.64205,-7.67866,109,119,192,
689.44,412.261,1,-221.747,176.933,200,53,140,
542.291,443.521,2,-198.211,22.5027,224,56,53,
507.22,411.119,1,-81.418,-29.8935,148,15,29,
874.217,716.476,4,-39.8498,44.7812,205,114,105,
703.809,380.515,2,59.1978,-32.0798,128,148,158,
717.104,514.458,3,29.8823,-45.6282,36,180,116,
661.618,452.1,3,-32.1325,94.3494,4,176,181,
51.3082,116.917,4,77.1193,12.548,12,240,40,
765.976,379.919,1,-21.0278,-151.212,82,84,38,
717.038,491.471,1,143.063,-24.0283,41,178,140,
464.831,355.546,4,102.144,-10.5012,41,61,65,
640.36,569.54,1,-141.59,84.0555,131,118,176,
1056.7,936.138,4,-73.3896,-18.8259,122,5,138,
692.432,386.465,3,86.7481,-4.6143,0,31,57,
765.074,401.496,3,39.4485,11.9436,229,4,207,
695.986,552.858,3,34.869,8.50243,45,113,244,
531.148,250.732,1,-113.576,-163.558,245,254,198,
1038.48,443.848,3,82.9992,13.9003,125,31,49,
662.034,475.853,4,106.677,92.9466,30,38,93,
727.197,308.014,1,-172.973,3.96479,92,34,157,
708.743,168.374,2,59.9284,94.728,40,215,39,
694.785,568.755,2,66.7531,46.5655,78,40,118,
540.032,479.739,1,-32.7481,-47.7387,189,179,172,
987.861,76.3149,3,-54.3952,51.2812,188,106,38,
415.234,505.49,2,101.476,2.85108,191,178,232,
446.328,363.828,4,1.1904,10.5888,141,61,209,
367.171,419.62,3,-0.900114,51.2849,60,43,100,
543.423,216.084,1,29.8908,-46.0803,169,153,77,
721.52,423.903,3,-29.9535,-131.166,211,81,240,
549.202,370.079,2,-90.5243,-4.57269,45,162,122,
687.774,276.536,4,-30.4503,-95.154,72,234,86,
64.8495,185.99,4,79.1258,27.8696,232,5,213,
692.386,331.937,4,-55.2914,-46.3006,217,169,183,
773.188,459.536,3,150.881,-80.2588,184,103,102,
-17.1423,459.128,4,-44.3031,-19.4942,76,117,146,
735.938,469.325,1,-152.64,-95.2341,212,118,142,
931.079,403.689,1,-140.968,120.09,102,41,199,
